---------- Weight factors of the objective function -------- 

c1: 0.25 	 (For travel-time of the buses)
c2: 0.35 	 (For walking time of the passengers)
c3: 0.4 	 (For the absolute difference in desired arrival time and actual arrival time of the passengers)
Number of buses: 5
Number of mandatory bus stops: 10
Number optional bus stops per cluster: 3 
 --> One cluster between each mandatory stop: 27 optional stops in total
Total number of bus stops: 37
Number of passenger requests: 40
Bus capacity: 15 passengers
Acceleration and deceleration time: 30 seconds
Dwell time per passenger at a bus stop: 5 seconds
Maximum walking time for any passenger: 1200 seconds
Maximum amount of time a passenger can arrive too early: 900 seconds
Maximum amount of time a passenger can arrive too late: 300 seconds

Desired arrival times of the passengers in seconds: 
p_1: 	7568.5
p_2: 	7875.86
p_3: 	8300.47
p_4: 	7901.1
p_5: 	7650.18
p_6: 	8298.12
p_7: 	7136.9
p_8: 	8077.66
p_9: 	7275.72
p_10: 	7589.39
p_11: 	7572.92
p_12: 	8809.46
p_13: 	7368.5
p_14: 	9075.86
p_15: 	7300.47
p_16: 	6901.1
p_17: 	6650.18
p_18: 	7298.12
p_19: 	6568.5
p_20: 	6875.86
p_21: 	7300.47
p_22: 	8901.1
p_23: 	8650.18
p_24: 	7298.12
p_25: 	8136.9
p_26: 	6077.66
p_27: 	6275.72
p_28: 	6589.39
p_29: 	8572.92
p_30: 	7809.46
p_31: 	7868.5
p_32: 	8075.86
p_33: 	7900.47
p_34: 	8901.1
p_35: 	7650.18
p_36: 	7288.12
p_37: 	7968.5
p_38: 	7275.86
p_39: 	7300.47
p_40: 	6901.1

Walking time between passengers and bus stops in seconds: 
passengers correspond with the rows, bus stops correspond with the columns 
the mandatory stops are listed first, then the optional stops are listed
3165	1236	3708	5976	8551	11056	13296	14586	16551	19056	4274	4005	4620	280	442	982	5961	5861	4931	5725	5994	5379	10280	9557	10059	11831	11286	11393	16265	15180	16244	15280	15211	14982	19961	19861	18931	
2414	534	3006	5478	7849	10355	12594	13884	15849	18355	3523	3254	3869	1006	1144	1732	5260	5159	4229	6476	6745	6130	9578	8855	9357	12582	12037	12144	15563	14478	15542	16006	15962	15732	19260	19159	18229	
2620	522	2994	5272	7837	10343	12582	13872	15837	18343	3729	3460	4075	800	1155	1526	5248	5147	4217	6270	6539	5924	9566	8844	9345	12376	11831	11938	15551	14466	15530	15800	15755	15526	19248	19147	18217	
2043	3470	5820	8715	11013	12812	14796	17105	19013	20812	478	605	633	4243	4198	4969	5175	5074	4380	9712	9981	9366	9494	8771	9273	15818	15274	15380	15478	14981	15458	19243	19198	18969	19175	19074	18380	
1588	3742	6092	8986	11284	13084	15067	17376	19284	21084	934	253	914	4514	4469	5240	5631	5530	4652	9984	10253	9638	9950	9227	9729	16090	15545	15652	15934	15253	15914	19514	19469	19240	19631	19530	18652	
2525	3908	6258	9152	11450	13250	15234	17542	19450	21250	150	1087	195	4680	4636	5407	5256	4712	4818	10150	10419	9804	9012	8636	9407	16256	15712	15818	15150	15419	14976	19680	19636	19407	19256	18712	18818	
2873	1362	3834	6102	8677	11183	13422	14712	16677	19183	3983	3714	4329	547	502	1273	6088	5987	5057	6016	6285	5670	10406	9684	10186	12122	11578	11684	16391	15306	16370	15547	15502	15273	20088	19987	19057	
3299	1521	3994	6261	8836	11342	13581	14871	16836	19342	4409	4140	4755	566	156	847	6247	6146	5216	5590	5859	5529	10566	9843	10345	11696	11152	11258	16550	15465	16529	15566	15076	14847	20247	20146	19216	
2396	816	3288	5556	8131	10637	12876	14166	16131	18637	3506	3237	3851	1024	979	1750	5542	5441	4511	6493	6762	6148	9861	9138	9640	12600	12055	12161	15845	14760	15824	16024	15979	15750	19542	19441	18511	
3789	1432	3905	6172	8747	11253	13492	14782	16747	19253	4898	4629	5244	477	412	357	6158	6057	5128	5461	5370	5441	10477	9754	10256	11207	11057	10769	16461	15376	16441	15477	14754	14357	20158	20057	19128	
